
Host: smg13363-ws

Timers On : Tue Jan  5 09:34:01 2021
Timers Off: Tue Jan  5 09:34:38 2021

Wall Time:       36.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      9.667u      0.100s      5.879w     28 calls
HF: Form core H                     :      0.083u      0.000s      0.010w     28 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     28 calls
HF: Guess                           :      1.983u      0.000s      1.202w     28 calls
SAD Guess                           :      1.917u      0.000s      1.126w     10 calls
HF: Form G                          :      2.083u      0.017s      1.231w    330 calls
JK: D                               :      0.000u      0.000s      0.003w    330 calls
JK: USO2AO                          :      0.033u      0.000s      0.020w    330 calls
JK: JK                              :      2.017u      0.017s      1.172w    330 calls
PK computes JK                      :      2.017u      0.017s      1.172w    330 calls
JK: AO2USO                          :      0.033u      0.000s      0.024w    330 calls
HF: Form F                          :      0.000u      0.000s      0.003w    330 calls
HF: Form D                          :      0.000u      0.000s      0.003w    330 calls
HF: DIIS                            :      0.183u      0.000s      0.130w    320 calls
DIISManager::add_entry              :      0.050u      0.000s      0.015w    302 calls
DIISManager::extrapolate            :      0.100u      0.000s      0.027w    302 calls
bMatrix setup                       :      0.050u      0.000s      0.010w    302 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.008w    302 calls
New vector                          :      0.033u      0.000s      0.008w    302 calls
HF: Form C                          :      0.100u      0.000s      0.061w    320 calls
Grad: V T Perturb                   :      0.617u      0.033s      0.355w     28 calls
Grad: S                             :      0.033u      0.000s      0.018w     28 calls
Grad: JK                            :     36.883u      0.017s     22.159w     28 calls
Grad: XC                            :      0.000u      0.000s      0.000w     28 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      9.667u      0.100s      5.879w     28 calls
HF: Form core H                     :      0.083u      0.000s      0.010w     28 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     28 calls
HF: Guess                           :      1.983u      0.000s      1.202w     28 calls
| SAD Guess                         :      1.917u      0.000s      1.126w     10 calls
HF: Form G                          :      2.083u      0.017s      1.231w    330 calls
| JK: D                             :      0.000u      0.000s      0.003w    330 calls
| JK: USO2AO                        :      0.033u      0.000s      0.020w    330 calls
| JK: JK                            :      2.017u      0.017s      1.172w    330 calls
| | PK computes JK                  :      2.017u      0.017s      1.172w    330 calls
| JK: AO2USO                        :      0.033u      0.000s      0.024w    330 calls
HF: Form F                          :      0.000u      0.000s      0.003w    330 calls
HF: Form D                          :      0.000u      0.000s      0.003w    330 calls
HF: DIIS                            :      0.183u      0.000s      0.130w    320 calls
| DIISManager::add_entry            :      0.050u      0.000s      0.015w    302 calls
| DIISManager::extrapolate          :      0.100u      0.000s      0.027w    302 calls
| | bMatrix setup                   :      0.050u      0.000s      0.010w    302 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.008w    302 calls
| | New vector                      :      0.033u      0.000s      0.008w    302 calls
HF: Form C                          :      0.100u      0.000s      0.061w    320 calls
Grad: V T Perturb                   :      0.617u      0.033s      0.355w     28 calls
Grad: S                             :      0.033u      0.000s      0.018w     28 calls
Grad: JK                            :     36.883u      0.017s     22.159w     28 calls
Grad: XC                            :      0.000u      0.000s      0.000w     28 calls

**************************************************************************************

Host: smg13363-ws

Timers On : Tue Jan  5 09:39:32 2021
Timers Off: Tue Jan  5 09:40:08 2021

Wall Time:       36.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      9.767u      0.150s      5.942w     28 calls
