
Host: smg13363-ws

Timers On : Fri Jan  8 10:41:53 2021
Timers Off: Fri Jan  8 10:41:53 2021

Wall Time:        0.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: smg13363-ws

Timers On : Fri Jan  8 10:42:14 2021
Timers Off: Fri Jan  8 10:43:19 2021

Wall Time:       64.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     16.667u      0.250s     10.140w     50 calls
HF: Form core H                     :      0.167u      0.017s      0.123w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.015w     50 calls
HF: Guess                           :      0.200u      0.000s      0.117w     50 calls
SAD Guess                           :      0.183u      0.000s      0.109w      1 calls
HF: Form G                          :      8.500u      0.050s      5.119w    595 calls
JK: D                               :      0.000u      0.000s      0.004w    595 calls
JK: USO2AO                          :      0.017u      0.000s      0.030w    595 calls
JK: JK                              :      8.383u      0.050s      5.011w    595 calls
PK computes JK                      :      8.383u      0.050s      5.010w    595 calls
JK: AO2USO                          :      0.083u      0.000s      0.047w    595 calls
HF: Form F                          :      0.000u      0.000s      0.005w    595 calls
HF: Form D                          :      0.017u      0.000s      0.007w    595 calls
HF: DIIS                            :      0.383u      0.000s      0.256w    594 calls
DIISManager::add_entry              :      0.050u      0.000s      0.036w    545 calls
DIISManager::extrapolate            :      0.117u      0.000s      0.062w    545 calls
bMatrix setup                       :      0.033u      0.000s      0.026w    545 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.013w    545 calls
New vector                          :      0.033u      0.000s      0.020w    545 calls
HF: Form C                          :      0.333u      0.000s      0.198w    594 calls
Grad: V T Perturb                   :      0.967u      0.200s      0.643w     50 calls
Grad: S                             :      0.017u      0.000s      0.029w     50 calls
Grad: JK                            :     65.383u      0.000s     39.276w     50 calls
Grad: XC                            :      0.000u      0.000s      0.000w     50 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     16.667u      0.250s     10.140w     50 calls
HF: Form core H                     :      0.167u      0.017s      0.123w     50 calls
HF: Form S/X                        :      0.000u      0.000s      0.015w     50 calls
HF: Guess                           :      0.200u      0.000s      0.117w     50 calls
| SAD Guess                         :      0.183u      0.000s      0.109w      1 calls
HF: Form G                          :      8.500u      0.050s      5.119w    595 calls
| JK: D                             :      0.000u      0.000s      0.004w    595 calls
| JK: USO2AO                        :      0.017u      0.000s      0.030w    595 calls
| JK: JK                            :      8.383u      0.050s      5.011w    595 calls
| | PK computes JK                  :      8.383u      0.050s      5.010w    595 calls
| JK: AO2USO                        :      0.083u      0.000s      0.047w    595 calls
HF: Form F                          :      0.000u      0.000s      0.005w    595 calls
HF: Form D                          :      0.017u      0.000s      0.007w    595 calls
HF: DIIS                            :      0.383u      0.000s      0.256w    594 calls
| DIISManager::add_entry            :      0.050u      0.000s      0.036w    545 calls
| DIISManager::extrapolate          :      0.117u      0.000s      0.062w    545 calls
| | bMatrix setup                   :      0.033u      0.000s      0.026w    545 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.013w    545 calls
| | New vector                      :      0.033u      0.000s      0.020w    545 calls
